state_name,year,condition_status,counts,condition
Massachusetts,2005,Unknown or Not Stated,129,pregnancy-associated_hypertension
Massachusetts,2006,Yes,2766,pregnancy-associated_hypertension
Massachusetts,2006,No,74703,pregnancy-associated_hypertension
Massachusetts,2006,Unknown or Not Stated,207,pregnancy-associated_hypertension
Michigan,2003,Yes,5266,pregnancy-associated_hypertension
Michigan,2003,No,125820,pregnancy-associated_hypertension
Michigan,2004,Yes,4799,pregnancy-associated_hypertension
Michigan,2004,No,124975,pregnancy-associated_hypertension
Michigan,2005,Yes,5012,pregnancy-associated_hypertension
Michigan,2005,No,122689,pregnancy-associated_hypertension
Michigan,2006,Yes,5246,pregnancy-associated_hypertension
Michigan,2006,No,122227,pregnancy-associated_hypertension
Michigan,2006,Unknown or Not Stated,10,pregnancy-associated_hypertension
Minnesota,2003,Yes,2592,pregnancy-associated_hypertension
Minnesota,2003,No,63511,pregnancy-associated_hypertension
Minnesota,2003,Unknown or Not Stated,3947,pregnancy-associated_hypertension
Minnesota,2004,Yes,2568,pregnancy-associated_hypertension
Minnesota,2004,No,65956,pregnancy-associated_hypertension
Minnesota,2004,Unknown or Not Stated,2100,pregnancy-associated_hypertension
Minnesota,2005,Yes,2418,pregnancy-associated_hypertension
Minnesota,2005,No,66230,pregnancy-associated_hypertension
Minnesota,2005,Unknown or Not Stated,2271,pregnancy-associated_hypertension
Minnesota,2006,Yes,2423,pregnancy-associated_hypertension
Minnesota,2006,No,69248,pregnancy-associated_hypertension
Minnesota,2006,Unknown or Not Stated,1854,pregnancy-associated_hypertension
Mississippi,2003,Yes,2103,pregnancy-associated_hypertension
Mississippi,2003,No,40184,pregnancy-associated_hypertension
Mississippi,2003,Unknown or Not Stated,93,pregnancy-associated_hypertension
Mississippi,2004,Yes,2150,pregnancy-associated_hypertension
Mississippi,2004,No,40639,pregnancy-associated_hypertension
Mississippi,2004,Unknown or Not Stated,38,pregnancy-associated_hypertension
Mississippi,2005,Yes,2250,pregnancy-associated_hypertension
Mississippi,2005,No,40067,pregnancy-associated_hypertension
Mississippi,2005,Unknown or Not Stated,78,pregnancy-associated_hypertension
Mississippi,2006,Yes,2345,pregnancy-associated_hypertension
Mississippi,2006,No,43693,pregnancy-associated_hypertension
Mississippi,2006,Unknown or Not Stated,18,pregnancy-associated_hypertension
Missouri,2003,Yes,3996,pregnancy-associated_hypertension
Missouri,2003,No,72986,pregnancy-associated_hypertension
Missouri,2003,Unknown or Not Stated,63,pregnancy-associated_hypertension
Missouri,2004,Yes,4127,pregnancy-associated_hypertension
Missouri,2004,No,73561,pregnancy-associated_hypertension
Missouri,2004,Unknown or Not Stated,77,pregnancy-associated_hypertension
Missouri,2005,Yes,3911,pregnancy-associated_hypertension
Missouri,2005,No,74642,pregnancy-associated_hypertension
Missouri,2005,Unknown or Not Stated,65,pregnancy-associated_hypertension
Missouri,2006,Yes,4144,pregnancy-associated_hypertension
Missouri,2006,No,77165,pregnancy-associated_hypertension
Missouri,2006,Unknown or Not Stated,76,pregnancy-associated_hypertension
Montana,2003,Yes,517,pregnancy-associated_hypertension
Montana,2003,No,10902,pregnancy-associated_hypertension
Montana,2004,Yes,547,pregnancy-associated_hypertension
Montana,2004,No,10972,pregnancy-associated_hypertension
Montana,2005,Yes,535,pregnancy-associated_hypertension
Montana,2005,No,11045,pregnancy-associated_hypertension
Montana,2006,Yes,550,pregnancy-associated_hypertension
Montana,2006,No,11958,pregnancy-associated_hypertension
Nebraska,2003,Yes,1081,pregnancy-associated_hypertension
Nebraska,2003,No,24832,pregnancy-associated_hypertension
Nebraska,2004,Yes,1044,pregnancy-associated_hypertension
Nebraska,2004,No,25276,pregnancy-associated_hypertension
Nebraska,2004,Unknown or Not Stated,12,pregnancy-associated_hypertension
Nebraska,2005,Yes,969,pregnancy-associated_hypertension
Nebraska,2005,No,25129,pregnancy-associated_hypertension
Nebraska,2005,Unknown or Not Stated,47,pregnancy-associated_hypertension
Nebraska,2006,Yes,965,pregnancy-associated_hypertension
Nebraska,2006,No,25725,pregnancy-associated_hypertension
Nebraska,2006,Unknown or Not Stated,37,pregnancy-associated_hypertension
Nevada,2003,Yes,813,pregnancy-associated_hypertension
Nevada,2003,No,32380,pregnancy-associated_hypertension
Nevada,2003,Unknown or Not Stated,454,pregnancy-associated_hypertension
Nevada,2004,Yes,789,pregnancy-associated_hypertension
Nevada,2004,No,33408,pregnancy-associated_hypertension
Nevada,2004,Unknown or Not Stated,1003,pregnancy-associated_hypertension
Nevada,2005,Yes,802,pregnancy-associated_hypertension
Nevada,2005,No,35731,pregnancy-associated_hypertension
Nevada,2005,Unknown or Not Stated,735,pregnancy-associated_hypertension
