state_name,Condition,Year,Counts
Nebraska,No,2020,23928
Nebraska,No,2021,24261
Nevada,Yes,2016,394
Nevada,Yes,2017,344
Nevada,Yes,2018,352
Nevada,Yes,2019,412
Nevada,Yes,2020,396
Nevada,Yes,2021,381
Nevada,No,2016,35866
Nevada,No,2017,35412
Nevada,No,2018,35328
Nevada,No,2019,34659
Nevada,No,2020,33257
Nevada,No,2021,33305
New Hampshire,Yes,2016,92
New Hampshire,Yes,2017,84
New Hampshire,Yes,2018,106
New Hampshire,Yes,2019,93
New Hampshire,Yes,2020,137
New Hampshire,Yes,2021,151
New Hampshire,No,2016,12068
New Hampshire,No,2017,11985
New Hampshire,No,2018,11842
New Hampshire,No,2019,11702
New Hampshire,No,2020,11618
New Hampshire,No,2021,12437
New Jersey,Yes,2016,1010
New Jersey,Yes,2017,1002
New Jersey,Yes,2018,949
New Jersey,Yes,2019,852
New Jersey,Yes,2020,956
New Jersey,Yes,2021,1049
New Jersey,No,2016,101630
New Jersey,No,2017,100241
New Jersey,No,2018,100267
New Jersey,No,2019,98727
New Jersey,No,2020,96990
New Jersey,No,2021,100439
New Mexico,Yes,2016,301
New Mexico,Yes,2017,368
New Mexico,Yes,2018,491
New Mexico,Yes,2019,434
New Mexico,Yes,2020,471
New Mexico,Yes,2021,477
New Mexico,No,2016,24391
New Mexico,No,2017,23399
New Mexico,No,2018,22548
New Mexico,No,2019,22521
New Mexico,No,2020,21430
New Mexico,No,2021,20912
New York,Yes,2016,1882
New York,Yes,2017,2043
New York,Yes,2018,2078
New York,Yes,2019,2061
New York,Yes,2020,2255
New York,Yes,2021,2239
New York,No,2016,232183
New York,No,2017,227288
New York,No,2018,223666
New York,No,2019,218994
New York,No,2020,206685
New York,No,2021,208052
North Carolina,Yes,2016,1283
North Carolina,Yes,2017,1296
North Carolina,Yes,2018,1340
North Carolina,Yes,2019,1358
North Carolina,Yes,2020,1338
North Carolina,Yes,2021,1462
North Carolina,No,2016,119480
North Carolina,No,2017,118819
North Carolina,No,2018,117594
North Carolina,No,2019,117361
North Carolina,No,2020,115383
North Carolina,No,2021,118981
North Dakota,Yes,2016,107
North Dakota,Yes,2017,91
North Dakota,Yes,2018,104
North Dakota,Yes,2019,103
North Dakota,Yes,2020,109
North Dakota,Yes,2021,129
North Dakota,No,2016,11276
North Dakota,No,2017,10645
North Dakota,No,2018,10530
North Dakota,No,2019,10351
North Dakota,No,2020,9950
North Dakota,No,2021,9983
Ohio,Yes,2016,1407
Ohio,Yes,2017,1448
Ohio,Yes,2018,1484
Ohio,Yes,2019,1532
Ohio,Yes,2020,1652
Ohio,Yes,2021,1714
Ohio,No,2016,136651
Ohio,No,2017,135370
Ohio,No,2018,133638
Ohio,No,2019,132921
Ohio,No,2020,127523
Ohio,No,2021,128058
Oklahoma,Yes,2016,449
Oklahoma,Yes,2017,489
Oklahoma,Yes,2018,604
Oklahoma,Yes,2019,557
Oklahoma,Yes,2020,638
Oklahoma,Yes,2021,556
Oklahoma,No,2016,52142
Oklahoma,No,2017,49724
Oklahoma,No,2018,49196
Oklahoma,No,2019,48584
Oklahoma,No,2020,46985
Oklahoma,No,2021,47848
Oregon,Yes,2016,428
Oregon,Yes,2017,410
Oregon,Yes,2018,403
Oregon,Yes,2019,462
Oregon,Yes,2020,423
Oregon,Yes,2021,439
Oregon,No,2016,45105
Oregon,No,2017,43221
Oregon,No,2018,41785
Oregon,No,2019,41394
Oregon,No,2020,39395
Oregon,No,2021,40475
Pennsylvania,Yes,2016,978
Pennsylvania,Yes,2017,1113
Pennsylvania,Yes,2018,1096
Pennsylvania,Yes,2019,1229
Pennsylvania,Yes,2020,1172
Pennsylvania,Yes,2021,1363
Pennsylvania,No,2016,138410
Pennsylvania,No,2017,136604
Pennsylvania,No,2018,134539
Pennsylvania,No,2019,132969
Pennsylvania,No,2020,129476
Pennsylvania,No,2021,130986
Rhode Island,Yes,2016,98
Rhode Island,Yes,2017,108
Rhode Island,Yes,2018,98
Rhode Island,Yes,2019,105
Rhode Island,Yes,2020,111
Rhode Island,Yes,2021,117
Rhode Island,No,2016,10693
Rhode Island,No,2017,10527
Rhode Island,No,2018,10403
Rhode Island,No,2019,10056
Rhode Island,No,2020,9973
Rhode Island,No,2021,10333
South Carolina,Yes,2016,610
South Carolina,Yes,2017,636
South Carolina,Yes,2018,656
South Carolina,Yes,2019,661
South Carolina,Yes,2020,767
South Carolina,Yes,2021,737
South Carolina,No,2016,56730
South Carolina,No,2017,56390
South Carolina,No,2018,56009
South Carolina,No,2019,56373
South Carolina,No,2020,54932
South Carolina,No,2021,56381
South Dakota,Yes,2016,119
South Dakota,Yes,2017,141
South Dakota,Yes,2018,119
South Dakota,Yes,2019,106
South Dakota,Yes,2020,132
South Dakota,Yes,2021,104
South Dakota,No,2016,12155
South Dakota,No,2017,11989
South Dakota,No,2018,11762
South Dakota,No,2019,11340
South Dakota,No,2020,10819
South Dakota,No,2021,11260
Tennessee,Yes,2016,964
Tennessee,Yes,2017,987
Tennessee,Yes,2018,1063
Tennessee,Yes,2019,1077
Tennessee,Yes,2020,1163
Tennessee,Yes,2021,1245
Tennessee,No,2016,79839
Tennessee,No,2017,79961
Tennessee,No,2018,79647
Tennessee,No,2019,79369
Tennessee,No,2020,77524
Tennessee,No,2021,80467
Texas,Yes,2016,2962
Texas,Yes,2017,3071
Texas,Yes,2018,3110
Texas,Yes,2019,3148
Texas,Yes,2020,3463
Texas,Yes,2021,3490
Texas,No,2016,395083
Texas,No,2017,378978
Texas,No,2018,375481
Texas,No,2019,374051
Texas,No,2020,364230
Texas,No,2021,369546
Utah,Yes,2016,326
Utah,Yes,2017,409
Utah,Yes,2018,417
Utah,Yes,2019,332
Utah,Yes,2020,365
Utah,Yes,2021,373
Utah,No,2016,50138
Utah,No,2017,48175
Utah,No,2018,46791
Utah,No,2019,46494
Utah,No,2020,45337
Utah,No,2021,46339
Vermont,Yes,2016,69
Vermont,Yes,2017,76
Vermont,Yes,2018,72
Vermont,Yes,2019,56
Vermont,Yes,2020,60
Vermont,Yes,2021,84
Vermont,No,2016,5687
Vermont,No,2017,5579
