"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Diabetes""","""Gestational Diabetes Code""","Births"
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",26
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Yes""","""1""",372
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",9471
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""District of Columbia""","""11""","""2017""","""2017""","""Yes""","""1""",317
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",9242
NA,"""District of Columbia""","""11""","""2018""","""2018""","""Yes""","""1""",361
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",8849
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",411
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",8664
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",512
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",8358
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",533
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",8121
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",10223
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",214383
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",416
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",11656
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",211470
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",504
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",13385
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",207685
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",472
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",14080
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",205605
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",317
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",14898
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",194479
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",294
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",15631
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",199950
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",679
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",5905
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",123789
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",348
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",6332
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",122529
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",382
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",6229
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",119682
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",261
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",6763
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",119407
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",201
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",7434
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",114896
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",143
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",8772
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",115132
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",169
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",1283
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",16776
NA,"""Hawaii""","""15""","""2017""","""2017""","""Yes""","""1""",1407
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",16110
NA,"""Hawaii""","""15""","""2018""","""2018""","""Yes""","""1""",1205
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",15767
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",1177
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",15620
NA,"""Hawaii""","""15""","""2020""","""2020""","""Yes""","""1""",1345
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",14439
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",1276
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",14344
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",1116
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",21342
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",24
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",1097
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",21067
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",17
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",1110
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",20272
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",21
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",1122
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",20928
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",1246
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",20269
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",18
