"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Hypertension""","""Gestational Hypertension Code""","Births"
NA,"""West Virginia""","""54""","""2016""","""2016""","""No""","""2""",17736
NA,"""West Virginia""","""54""","""2016""","""2016""","""Unknown or Not Stated""","""9""",98
NA,"""West Virginia""","""54""","""2017""","""2017""","""Yes""","""1""",1360
NA,"""West Virginia""","""54""","""2017""","""2017""","""No""","""2""",17219
NA,"""West Virginia""","""54""","""2017""","""2017""","""Unknown or Not Stated""","""9""",96
NA,"""West Virginia""","""54""","""2018""","""2018""","""Yes""","""1""",1641
NA,"""West Virginia""","""54""","""2018""","""2018""","""No""","""2""",16531
NA,"""West Virginia""","""54""","""2018""","""2018""","""Unknown or Not Stated""","""9""",76
NA,"""West Virginia""","""54""","""2019""","""2019""","""Yes""","""1""",1642
NA,"""West Virginia""","""54""","""2019""","""2019""","""No""","""2""",16403
NA,"""West Virginia""","""54""","""2019""","""2019""","""Unknown or Not Stated""","""9""",91
NA,"""West Virginia""","""54""","""2020""","""2020""","""Yes""","""1""",1692
NA,"""West Virginia""","""54""","""2020""","""2020""","""No""","""2""",15538
NA,"""West Virginia""","""54""","""2020""","""2020""","""Unknown or Not Stated""","""9""",93
NA,"""West Virginia""","""54""","""2021""","""2021""","""Yes""","""1""",1944
NA,"""West Virginia""","""54""","""2021""","""2021""","""No""","""2""",15159
NA,"""West Virginia""","""54""","""2021""","""2021""","""Unknown or Not Stated""","""9""",95
NA,"""Wisconsin""","""55""","""2016""","""2016""","""Yes""","""1""",4103
NA,"""Wisconsin""","""55""","""2016""","""2016""","""No""","""2""",62299
NA,"""Wisconsin""","""55""","""2016""","""2016""","""Unknown or Not Stated""","""9""",213
NA,"""Wisconsin""","""55""","""2017""","""2017""","""Yes""","""1""",4337
NA,"""Wisconsin""","""55""","""2017""","""2017""","""No""","""2""",60464
NA,"""Wisconsin""","""55""","""2017""","""2017""","""Unknown or Not Stated""","""9""",174
NA,"""Wisconsin""","""55""","""2018""","""2018""","""Yes""","""1""",5001
NA,"""Wisconsin""","""55""","""2018""","""2018""","""No""","""2""",58909
NA,"""Wisconsin""","""55""","""2018""","""2018""","""Unknown or Not Stated""","""9""",188
NA,"""Wisconsin""","""55""","""2019""","""2019""","""Yes""","""1""",5337
NA,"""Wisconsin""","""55""","""2019""","""2019""","""No""","""2""",57722
NA,"""Wisconsin""","""55""","""2019""","""2019""","""Unknown or Not Stated""","""9""",211
NA,"""Wisconsin""","""55""","""2020""","""2020""","""Yes""","""1""",5127
NA,"""Wisconsin""","""55""","""2020""","""2020""","""No""","""2""",55401
NA,"""Wisconsin""","""55""","""2020""","""2020""","""Unknown or Not Stated""","""9""",66
NA,"""Wisconsin""","""55""","""2021""","""2021""","""Yes""","""1""",5646
NA,"""Wisconsin""","""55""","""2021""","""2021""","""No""","""2""",56040
NA,"""Wisconsin""","""55""","""2021""","""2021""","""Unknown or Not Stated""","""9""",95
NA,"""Wyoming""","""56""","""2016""","""2016""","""Yes""","""1""",415
NA,"""Wyoming""","""56""","""2016""","""2016""","""No""","""2""",6971
NA,"""Wyoming""","""56""","""2017""","""2017""","""Yes""","""1""",480
NA,"""Wyoming""","""56""","""2017""","""2017""","""No""","""2""",6422
NA,"""Wyoming""","""56""","""2018""","""2018""","""Yes""","""1""",568
NA,"""Wyoming""","""56""","""2018""","""2018""","""No""","""2""",5994
NA,"""Wyoming""","""56""","""2019""","""2019""","""Yes""","""1""",548
NA,"""Wyoming""","""56""","""2019""","""2019""","""No""","""2""",6017
NA,"""Wyoming""","""56""","""2020""","""2020""","""Yes""","""1""",617
NA,"""Wyoming""","""56""","""2020""","""2020""","""No""","""2""",5510
NA,"""Wyoming""","""56""","""2021""","""2021""","""Yes""","""1""",666
NA,"""Wyoming""","""56""","""2021""","""2021""","""No""","""2""",5569
