"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Gestational Hypertension""","""Gestational Hypertension Code""","Births"
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",20654
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",17
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",1655
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",19727
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",21
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",1871
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",20179
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",1817
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",19698
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",18
NA,"""Idaho""","""16""","""2021""","""2021""","""Yes""","""1""",2050
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",20358
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",10543
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",143676
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",226
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",10914
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",138111
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",365
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",12046
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",132516
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",253
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",12942
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",127064
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",122
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",12702
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",120428
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",168
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",13735
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",118331
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",123
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",5650
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",77437
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",6161
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",75999
NA,"""Indiana""","""18""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",6812
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",74825
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",7368
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",73487
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",7735
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",70834
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",47
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",8229
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",71256
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",461
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",2595
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",36807
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",2744
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",35684
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",3094
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",34691
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",3293
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",34354
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",3134
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",32979
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",3612
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",33215
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",2510
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",35543
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",2596
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",33923
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",2551
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",33710
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",2792
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",32603
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",2838
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",31537
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",3187
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",31516
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",4337
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",50831
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",281
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",4534
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",50026
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",192
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",4819
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",48963
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",140
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",4770
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",48153
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",146
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",4894
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",46231
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",543
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",5424
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",46551
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",239
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",5908
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",57270
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",6357
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",54661
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",6680
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",52935
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",6845
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",52095
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",7227
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",50100
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",7524
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",49911
NA,"""Maine""","""23""","""2016""","""2016""","""Yes""","""1""",894
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",11796
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""Maine""","""23""","""2017""","""2017""","""Yes""","""1""",996
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",11300
NA,"""Maine""","""23""","""2018""","""2018""","""Yes""","""1""",966
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",11344
NA,"""Maine""","""23""","""2019""","""2019""","""Yes""","""1""",1038
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",10739
NA,"""Maine""","""23""","""2020""","""2020""","""Yes""","""1""",1034
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",10505
NA,"""Maine""","""23""","""2021""","""2021""","""Yes""","""1""",1165
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",10841
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",4548
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",68577
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",5112
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",66460
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",5198
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",65840
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",5392
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",64746
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",40
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",5907
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",62608
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",39
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",6801
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",61442
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",42
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",2915
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",68306
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",96
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",3160
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",67471
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",71
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",3440
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",65593
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",3765
NA,"""Massachusetts""","""25""","""2019""","""2019""","""No""","""2""",65215
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Unknown or Not Stated""","""9""",137
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Yes""","""1""",4471
NA,"""Massachusetts""","""25""","""2020""","""2020""","""No""","""2""",61724
NA,"""Massachusetts""","""25""","""2020""","""2020""","""Unknown or Not Stated""","""9""",233
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Yes""","""1""",4868
NA,"""Massachusetts""","""25""","""2021""","""2021""","""No""","""2""",64057
NA,"""Massachusetts""","""25""","""2021""","""2021""","""Unknown or Not Stated""","""9""",212
NA,"""Michigan""","""26""","""2016""","""2016""","""Yes""","""1""",7370
NA,"""Michigan""","""26""","""2016""","""2016""","""No""","""2""",105677
NA,"""Michigan""","""26""","""2016""","""2016""","""Unknown or Not Stated""","""9""",268
NA,"""Michigan""","""26""","""2017""","""2017""","""Yes""","""1""",7876
NA,"""Michigan""","""26""","""2017""","""2017""","""No""","""2""",103238
NA,"""Michigan""","""26""","""2017""","""2017""","""Unknown or Not Stated""","""9""",312
NA,"""Michigan""","""26""","""2018""","""2018""","""Yes""","""1""",8616
NA,"""Michigan""","""26""","""2018""","""2018""","""No""","""2""",101147
NA,"""Michigan""","""26""","""2018""","""2018""","""Unknown or Not Stated""","""9""",269
NA,"""Michigan""","""26""","""2019""","""2019""","""Yes""","""1""",9541
NA,"""Michigan""","""26""","""2019""","""2019""","""No""","""2""",98106
NA,"""Michigan""","""26""","""2019""","""2019""","""Unknown or Not Stated""","""9""",239
NA,"""Michigan""","""26""","""2020""","""2020""","""Yes""","""1""",8644
NA,"""Michigan""","""26""","""2020""","""2020""","""No""","""2""",95248
NA,"""Michigan""","""26""","""2020""","""2020""","""Unknown or Not Stated""","""9""",182
NA,"""Michigan""","""26""","""2021""","""2021""","""Yes""","""1""",9184
NA,"""Michigan""","""26""","""2021""","""2021""","""No""","""2""",95651
NA,"""Michigan""","""26""","""2021""","""2021""","""Unknown or Not Stated""","""9""",145
NA,"""Minnesota""","""27""","""2016""","""2016""","""Yes""","""1""",4649
