"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Cesarean Delivery""","""Previous Cesarean Delivery Code""","Births"
NA,"""Hawaii""","""15""","""2017""","""2017""","""Yes""","""1""",2094
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",15423
NA,"""Hawaii""","""15""","""2018""","""2018""","""Yes""","""1""",2060
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",14912
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",2036
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",14761
NA,"""Hawaii""","""15""","""2020""","""2020""","""Yes""","""1""",1950
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",13834
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",1912
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",13708
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",2979
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",19479
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",24
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",2904
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",19260
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",17
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",2736
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",18646
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",21
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",2850
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",19200
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",2673
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",18842
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",18
NA,"""Idaho""","""16""","""2021""","""2021""","""Yes""","""1""",2750
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",19658
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",23679
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",130540
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",226
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",23237
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",125788
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",365
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",23093
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",121469
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",253
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",21986
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",118020
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",122
