"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Previous Preterm Birth""","""Previous Preterm Birth Code""","Births"
NA,"""Connecticut""","""09""","""2020""","""2020""","""No""","""2""",31932
NA,"""Connecticut""","""09""","""2020""","""2020""","""Unknown or Not Stated""","""9""",139
NA,"""Connecticut""","""09""","""2021""","""2021""","""Yes""","""1""",1480
NA,"""Connecticut""","""09""","""2021""","""2021""","""No""","""2""",34165
NA,"""Connecticut""","""09""","""2021""","""2021""","""Unknown or Not Stated""","""9""",25
NA,"""Delaware""","""10""","""2016""","""2016""","""Yes""","""1""",605
NA,"""Delaware""","""10""","""2016""","""2016""","""No""","""2""",10386
NA,"""Delaware""","""10""","""2017""","""2017""","""Yes""","""1""",592
NA,"""Delaware""","""10""","""2017""","""2017""","""No""","""2""",10262
NA,"""Delaware""","""10""","""2018""","""2018""","""Yes""","""1""",571
NA,"""Delaware""","""10""","""2018""","""2018""","""No""","""2""",10046
NA,"""Delaware""","""10""","""2019""","""2019""","""Yes""","""1""",482
NA,"""Delaware""","""10""","""2019""","""2019""","""No""","""2""",10065
NA,"""Delaware""","""10""","""2019""","""2019""","""Unknown or Not Stated""","""9""",15
NA,"""Delaware""","""10""","""2020""","""2020""","""Yes""","""1""",442
NA,"""Delaware""","""10""","""2020""","""2020""","""No""","""2""",9918
NA,"""Delaware""","""10""","""2020""","""2020""","""Unknown or Not Stated""","""9""",32
NA,"""Delaware""","""10""","""2021""","""2021""","""Yes""","""1""",207
NA,"""Delaware""","""10""","""2021""","""2021""","""No""","""2""",10249
NA,"""Delaware""","""10""","""2021""","""2021""","""Unknown or Not Stated""","""9""",26
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Yes""","""1""",297
NA,"""District of Columbia""","""11""","""2016""","""2016""","""No""","""2""",9546
NA,"""District of Columbia""","""11""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""District of Columbia""","""11""","""2017""","""2017""","""Yes""","""1""",326
NA,"""District of Columbia""","""11""","""2017""","""2017""","""No""","""2""",9233
NA,"""District of Columbia""","""11""","""2018""","""2018""","""Yes""","""1""",405
NA,"""District of Columbia""","""11""","""2018""","""2018""","""No""","""2""",8805
NA,"""District of Columbia""","""11""","""2019""","""2019""","""Yes""","""1""",495
NA,"""District of Columbia""","""11""","""2019""","""2019""","""No""","""2""",8580
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",386
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",8484
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",266
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",8388
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",2513
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",222093
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",416
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",2785
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",220341
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",504
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",4067
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",217003
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",472
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",3913
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",215772
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",317
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",3870
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",205507
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",294
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",4231
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",211350
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",679
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",3112
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",126582
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",348
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",3232
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",125629
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",382
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",3267
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",122644
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",261
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",3363
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",122807
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",201
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",3432
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",118898
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",143
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",3447
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",120457
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",169
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",657
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",17402
NA,"""Hawaii""","""15""","""2017""","""2017""","""Yes""","""1""",671
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",16846
NA,"""Hawaii""","""15""","""2018""","""2018""","""Yes""","""1""",664
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",16308
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",686
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",16111
NA,"""Hawaii""","""15""","""2020""","""2020""","""Yes""","""1""",562
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",15222
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",557
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",15063
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",765
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",21693
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",24
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",720
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",21444
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",17
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",720
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",20662
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",21
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",825
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",21225
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",13
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",806
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",20709
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",18
NA,"""Idaho""","""16""","""2021""","""2021""","""Yes""","""1""",809
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",21599
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",19
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",6960
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",147259
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",226
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",6804
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",142221
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",365
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",7148
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",137414
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",253
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",6751
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",133255
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",122
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",6507
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",126623
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",168
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",6845
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",125221
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",123
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",2864
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",80223
NA,"""Indiana""","""18""","""2017""","""2017""","""Yes""","""1""",3017
NA,"""Indiana""","""18""","""2017""","""2017""","""No""","""2""",79143
NA,"""Indiana""","""18""","""2017""","""2017""","""Unknown or Not Stated""","""9""",10
NA,"""Indiana""","""18""","""2018""","""2018""","""Yes""","""1""",3230
NA,"""Indiana""","""18""","""2018""","""2018""","""No""","""2""",78407
NA,"""Indiana""","""18""","""2019""","""2019""","""Yes""","""1""",3230
NA,"""Indiana""","""18""","""2019""","""2019""","""No""","""2""",77625
NA,"""Indiana""","""18""","""2020""","""2020""","""Yes""","""1""",3339
NA,"""Indiana""","""18""","""2020""","""2020""","""No""","""2""",75230
NA,"""Indiana""","""18""","""2020""","""2020""","""Unknown or Not Stated""","""9""",47
NA,"""Indiana""","""18""","""2021""","""2021""","""Yes""","""1""",3250
NA,"""Indiana""","""18""","""2021""","""2021""","""No""","""2""",76235
NA,"""Indiana""","""18""","""2021""","""2021""","""Unknown or Not Stated""","""9""",461
NA,"""Iowa""","""19""","""2016""","""2016""","""Yes""","""1""",1482
NA,"""Iowa""","""19""","""2016""","""2016""","""No""","""2""",37920
NA,"""Iowa""","""19""","""2017""","""2017""","""Yes""","""1""",1479
NA,"""Iowa""","""19""","""2017""","""2017""","""No""","""2""",36949
NA,"""Iowa""","""19""","""2018""","""2018""","""Yes""","""1""",1564
NA,"""Iowa""","""19""","""2018""","""2018""","""No""","""2""",36221
NA,"""Iowa""","""19""","""2019""","""2019""","""Yes""","""1""",1513
NA,"""Iowa""","""19""","""2019""","""2019""","""No""","""2""",36134
NA,"""Iowa""","""19""","""2020""","""2020""","""Yes""","""1""",1385
NA,"""Iowa""","""19""","""2020""","""2020""","""No""","""2""",34728
NA,"""Iowa""","""19""","""2021""","""2021""","""Yes""","""1""",1484
NA,"""Iowa""","""19""","""2021""","""2021""","""No""","""2""",35343
NA,"""Kansas""","""20""","""2016""","""2016""","""Yes""","""1""",1091
NA,"""Kansas""","""20""","""2016""","""2016""","""No""","""2""",36962
NA,"""Kansas""","""20""","""2017""","""2017""","""Yes""","""1""",953
NA,"""Kansas""","""20""","""2017""","""2017""","""No""","""2""",35566
NA,"""Kansas""","""20""","""2018""","""2018""","""Yes""","""1""",898
NA,"""Kansas""","""20""","""2018""","""2018""","""No""","""2""",35363
NA,"""Kansas""","""20""","""2019""","""2019""","""Yes""","""1""",1088
NA,"""Kansas""","""20""","""2019""","""2019""","""No""","""2""",34307
NA,"""Kansas""","""20""","""2020""","""2020""","""Yes""","""1""",1005
NA,"""Kansas""","""20""","""2020""","""2020""","""No""","""2""",33370
NA,"""Kansas""","""20""","""2021""","""2021""","""Yes""","""1""",1006
NA,"""Kansas""","""20""","""2021""","""2021""","""No""","""2""",33697
NA,"""Kentucky""","""21""","""2016""","""2016""","""Yes""","""1""",2171
NA,"""Kentucky""","""21""","""2016""","""2016""","""No""","""2""",52997
NA,"""Kentucky""","""21""","""2016""","""2016""","""Unknown or Not Stated""","""9""",281
NA,"""Kentucky""","""21""","""2017""","""2017""","""Yes""","""1""",2265
NA,"""Kentucky""","""21""","""2017""","""2017""","""No""","""2""",52295
NA,"""Kentucky""","""21""","""2017""","""2017""","""Unknown or Not Stated""","""9""",192
NA,"""Kentucky""","""21""","""2018""","""2018""","""Yes""","""1""",2294
NA,"""Kentucky""","""21""","""2018""","""2018""","""No""","""2""",51488
NA,"""Kentucky""","""21""","""2018""","""2018""","""Unknown or Not Stated""","""9""",140
NA,"""Kentucky""","""21""","""2019""","""2019""","""Yes""","""1""",2224
NA,"""Kentucky""","""21""","""2019""","""2019""","""No""","""2""",50699
NA,"""Kentucky""","""21""","""2019""","""2019""","""Unknown or Not Stated""","""9""",146
NA,"""Kentucky""","""21""","""2020""","""2020""","""Yes""","""1""",2428
NA,"""Kentucky""","""21""","""2020""","""2020""","""No""","""2""",48697
NA,"""Kentucky""","""21""","""2020""","""2020""","""Unknown or Not Stated""","""9""",543
NA,"""Kentucky""","""21""","""2021""","""2021""","""Yes""","""1""",2665
NA,"""Kentucky""","""21""","""2021""","""2021""","""No""","""2""",49310
NA,"""Kentucky""","""21""","""2021""","""2021""","""Unknown or Not Stated""","""9""",239
NA,"""Louisiana""","""22""","""2016""","""2016""","""Yes""","""1""",1910
NA,"""Louisiana""","""22""","""2016""","""2016""","""No""","""2""",61268
NA,"""Louisiana""","""22""","""2017""","""2017""","""Yes""","""1""",1940
NA,"""Louisiana""","""22""","""2017""","""2017""","""No""","""2""",59078
NA,"""Louisiana""","""22""","""2018""","""2018""","""Yes""","""1""",2016
NA,"""Louisiana""","""22""","""2018""","""2018""","""No""","""2""",57599
NA,"""Louisiana""","""22""","""2019""","""2019""","""Yes""","""1""",1986
NA,"""Louisiana""","""22""","""2019""","""2019""","""No""","""2""",56954
NA,"""Louisiana""","""22""","""2020""","""2020""","""Yes""","""1""",2237
NA,"""Louisiana""","""22""","""2020""","""2020""","""No""","""2""",55090
NA,"""Louisiana""","""22""","""2021""","""2021""","""Yes""","""1""",2276
NA,"""Louisiana""","""22""","""2021""","""2021""","""No""","""2""",55159
NA,"""Maine""","""23""","""2016""","""2016""","""Yes""","""1""",348
NA,"""Maine""","""23""","""2016""","""2016""","""No""","""2""",12342
NA,"""Maine""","""23""","""2016""","""2016""","""Unknown or Not Stated""","""9""",15
NA,"""Maine""","""23""","""2017""","""2017""","""Yes""","""1""",337
NA,"""Maine""","""23""","""2017""","""2017""","""No""","""2""",11959
NA,"""Maine""","""23""","""2018""","""2018""","""Yes""","""1""",431
NA,"""Maine""","""23""","""2018""","""2018""","""No""","""2""",11879
NA,"""Maine""","""23""","""2019""","""2019""","""Yes""","""1""",415
NA,"""Maine""","""23""","""2019""","""2019""","""No""","""2""",11362
NA,"""Maine""","""23""","""2020""","""2020""","""Yes""","""1""",382
NA,"""Maine""","""23""","""2020""","""2020""","""No""","""2""",11157
NA,"""Maine""","""23""","""2021""","""2021""","""Yes""","""1""",476
NA,"""Maine""","""23""","""2021""","""2021""","""No""","""2""",11530
NA,"""Maryland""","""24""","""2016""","""2016""","""Yes""","""1""",2649
NA,"""Maryland""","""24""","""2016""","""2016""","""No""","""2""",70476
NA,"""Maryland""","""24""","""2016""","""2016""","""Unknown or Not Stated""","""9""",11
NA,"""Maryland""","""24""","""2017""","""2017""","""Yes""","""1""",2944
NA,"""Maryland""","""24""","""2017""","""2017""","""No""","""2""",68628
NA,"""Maryland""","""24""","""2017""","""2017""","""Unknown or Not Stated""","""9""",69
NA,"""Maryland""","""24""","""2018""","""2018""","""Yes""","""1""",3044
NA,"""Maryland""","""24""","""2018""","""2018""","""No""","""2""",67994
NA,"""Maryland""","""24""","""2018""","""2018""","""Unknown or Not Stated""","""9""",42
NA,"""Maryland""","""24""","""2019""","""2019""","""Yes""","""1""",3030
NA,"""Maryland""","""24""","""2019""","""2019""","""No""","""2""",67108
NA,"""Maryland""","""24""","""2019""","""2019""","""Unknown or Not Stated""","""9""",40
NA,"""Maryland""","""24""","""2020""","""2020""","""Yes""","""1""",3078
NA,"""Maryland""","""24""","""2020""","""2020""","""No""","""2""",65437
NA,"""Maryland""","""24""","""2020""","""2020""","""Unknown or Not Stated""","""9""",39
NA,"""Maryland""","""24""","""2021""","""2021""","""Yes""","""1""",3202
NA,"""Maryland""","""24""","""2021""","""2021""","""No""","""2""",65041
NA,"""Maryland""","""24""","""2021""","""2021""","""Unknown or Not Stated""","""9""",42
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Yes""","""1""",1174
NA,"""Massachusetts""","""25""","""2016""","""2016""","""No""","""2""",70047
NA,"""Massachusetts""","""25""","""2016""","""2016""","""Unknown or Not Stated""","""9""",96
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Yes""","""1""",1669
NA,"""Massachusetts""","""25""","""2017""","""2017""","""No""","""2""",68962
NA,"""Massachusetts""","""25""","""2017""","""2017""","""Unknown or Not Stated""","""9""",71
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Yes""","""1""",1755
NA,"""Massachusetts""","""25""","""2018""","""2018""","""No""","""2""",67278
NA,"""Massachusetts""","""25""","""2018""","""2018""","""Unknown or Not Stated""","""9""",76
NA,"""Massachusetts""","""25""","""2019""","""2019""","""Yes""","""1""",1819
