"""Notes""","""State of Residence""","""State of Residence Code""","""Year""","""Year Code""","""Chlamydia""","""Chlamydia Code""","Births"
NA,"""District of Columbia""","""11""","""2020""","""2020""","""Yes""","""1""",189
NA,"""District of Columbia""","""11""","""2020""","""2020""","""No""","""2""",8680
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Yes""","""1""",126
NA,"""District of Columbia""","""11""","""2021""","""2021""","""No""","""2""",8428
NA,"""District of Columbia""","""11""","""2021""","""2021""","""Unknown or Not Stated""","""9""",106
NA,"""Florida""","""12""","""2016""","""2016""","""Yes""","""1""",3736
NA,"""Florida""","""12""","""2016""","""2016""","""No""","""2""",218804
NA,"""Florida""","""12""","""2016""","""2016""","""Unknown or Not Stated""","""9""",2482
NA,"""Florida""","""12""","""2017""","""2017""","""Yes""","""1""",3857
NA,"""Florida""","""12""","""2017""","""2017""","""No""","""2""",217358
NA,"""Florida""","""12""","""2017""","""2017""","""Unknown or Not Stated""","""9""",2415
NA,"""Florida""","""12""","""2018""","""2018""","""Yes""","""1""",3953
NA,"""Florida""","""12""","""2018""","""2018""","""No""","""2""",215199
NA,"""Florida""","""12""","""2018""","""2018""","""Unknown or Not Stated""","""9""",2390
NA,"""Florida""","""12""","""2019""","""2019""","""Yes""","""1""",3973
NA,"""Florida""","""12""","""2019""","""2019""","""No""","""2""",214959
NA,"""Florida""","""12""","""2019""","""2019""","""Unknown or Not Stated""","""9""",1070
NA,"""Florida""","""12""","""2020""","""2020""","""Yes""","""1""",3743
NA,"""Florida""","""12""","""2020""","""2020""","""No""","""2""",205106
NA,"""Florida""","""12""","""2020""","""2020""","""Unknown or Not Stated""","""9""",822
NA,"""Florida""","""12""","""2021""","""2021""","""Yes""","""1""",4146
NA,"""Florida""","""12""","""2021""","""2021""","""No""","""2""",210836
NA,"""Florida""","""12""","""2021""","""2021""","""Unknown or Not Stated""","""9""",1278
NA,"""Georgia""","""13""","""2016""","""2016""","""Yes""","""1""",3151
NA,"""Georgia""","""13""","""2016""","""2016""","""No""","""2""",126360
NA,"""Georgia""","""13""","""2016""","""2016""","""Unknown or Not Stated""","""9""",531
NA,"""Georgia""","""13""","""2017""","""2017""","""Yes""","""1""",3183
NA,"""Georgia""","""13""","""2017""","""2017""","""No""","""2""",125524
NA,"""Georgia""","""13""","""2017""","""2017""","""Unknown or Not Stated""","""9""",536
NA,"""Georgia""","""13""","""2018""","""2018""","""Yes""","""1""",2816
NA,"""Georgia""","""13""","""2018""","""2018""","""No""","""2""",122853
NA,"""Georgia""","""13""","""2018""","""2018""","""Unknown or Not Stated""","""9""",503
NA,"""Georgia""","""13""","""2019""","""2019""","""Yes""","""1""",2853
NA,"""Georgia""","""13""","""2019""","""2019""","""No""","""2""",123215
NA,"""Georgia""","""13""","""2019""","""2019""","""Unknown or Not Stated""","""9""",303
NA,"""Georgia""","""13""","""2020""","""2020""","""Yes""","""1""",3096
NA,"""Georgia""","""13""","""2020""","""2020""","""No""","""2""",119078
NA,"""Georgia""","""13""","""2020""","""2020""","""Unknown or Not Stated""","""9""",299
NA,"""Georgia""","""13""","""2021""","""2021""","""Yes""","""1""",3136
NA,"""Georgia""","""13""","""2021""","""2021""","""No""","""2""",120626
NA,"""Georgia""","""13""","""2021""","""2021""","""Unknown or Not Stated""","""9""",311
NA,"""Hawaii""","""15""","""2016""","""2016""","""Yes""","""1""",237
NA,"""Hawaii""","""15""","""2016""","""2016""","""No""","""2""",17822
NA,"""Hawaii""","""15""","""2017""","""2017""","""Yes""","""1""",223
NA,"""Hawaii""","""15""","""2017""","""2017""","""No""","""2""",17294
NA,"""Hawaii""","""15""","""2018""","""2018""","""Yes""","""1""",159
NA,"""Hawaii""","""15""","""2018""","""2018""","""No""","""2""",16813
NA,"""Hawaii""","""15""","""2019""","""2019""","""Yes""","""1""",130
NA,"""Hawaii""","""15""","""2019""","""2019""","""No""","""2""",16667
NA,"""Hawaii""","""15""","""2020""","""2020""","""Yes""","""1""",129
NA,"""Hawaii""","""15""","""2020""","""2020""","""No""","""2""",15655
NA,"""Hawaii""","""15""","""2021""","""2021""","""Yes""","""1""",137
NA,"""Hawaii""","""15""","""2021""","""2021""","""No""","""2""",15483
NA,"""Idaho""","""16""","""2016""","""2016""","""Yes""","""1""",309
NA,"""Idaho""","""16""","""2016""","""2016""","""No""","""2""",22101
NA,"""Idaho""","""16""","""2016""","""2016""","""Unknown or Not Stated""","""9""",72
NA,"""Idaho""","""16""","""2017""","""2017""","""Yes""","""1""",299
NA,"""Idaho""","""16""","""2017""","""2017""","""No""","""2""",21832
NA,"""Idaho""","""16""","""2017""","""2017""","""Unknown or Not Stated""","""9""",50
NA,"""Idaho""","""16""","""2018""","""2018""","""Yes""","""1""",295
NA,"""Idaho""","""16""","""2018""","""2018""","""No""","""2""",21069
NA,"""Idaho""","""16""","""2018""","""2018""","""Unknown or Not Stated""","""9""",39
NA,"""Idaho""","""16""","""2019""","""2019""","""Yes""","""1""",283
NA,"""Idaho""","""16""","""2019""","""2019""","""No""","""2""",21728
NA,"""Idaho""","""16""","""2019""","""2019""","""Unknown or Not Stated""","""9""",52
NA,"""Idaho""","""16""","""2020""","""2020""","""Yes""","""1""",265
NA,"""Idaho""","""16""","""2020""","""2020""","""No""","""2""",21233
NA,"""Idaho""","""16""","""2020""","""2020""","""Unknown or Not Stated""","""9""",35
NA,"""Idaho""","""16""","""2021""","""2021""","""Yes""","""1""",243
NA,"""Idaho""","""16""","""2021""","""2021""","""No""","""2""",22111
NA,"""Idaho""","""16""","""2021""","""2021""","""Unknown or Not Stated""","""9""",73
NA,"""Illinois""","""17""","""2016""","""2016""","""Yes""","""1""",3127
NA,"""Illinois""","""17""","""2016""","""2016""","""No""","""2""",150995
NA,"""Illinois""","""17""","""2016""","""2016""","""Unknown or Not Stated""","""9""",323
NA,"""Illinois""","""17""","""2017""","""2017""","""Yes""","""1""",3045
NA,"""Illinois""","""17""","""2017""","""2017""","""No""","""2""",145862
NA,"""Illinois""","""17""","""2017""","""2017""","""Unknown or Not Stated""","""9""",483
NA,"""Illinois""","""17""","""2018""","""2018""","""Yes""","""1""",2652
NA,"""Illinois""","""17""","""2018""","""2018""","""No""","""2""",141778
NA,"""Illinois""","""17""","""2018""","""2018""","""Unknown or Not Stated""","""9""",385
NA,"""Illinois""","""17""","""2019""","""2019""","""Yes""","""1""",2741
NA,"""Illinois""","""17""","""2019""","""2019""","""No""","""2""",137236
NA,"""Illinois""","""17""","""2019""","""2019""","""Unknown or Not Stated""","""9""",151
NA,"""Illinois""","""17""","""2020""","""2020""","""Yes""","""1""",2680
NA,"""Illinois""","""17""","""2020""","""2020""","""No""","""2""",130395
NA,"""Illinois""","""17""","""2020""","""2020""","""Unknown or Not Stated""","""9""",223
NA,"""Illinois""","""17""","""2021""","""2021""","""Yes""","""1""",2448
NA,"""Illinois""","""17""","""2021""","""2021""","""No""","""2""",129590
NA,"""Illinois""","""17""","""2021""","""2021""","""Unknown or Not Stated""","""9""",151
NA,"""Indiana""","""18""","""2016""","""2016""","""Yes""","""1""",1940
NA,"""Indiana""","""18""","""2016""","""2016""","""No""","""2""",81142
